"Categoria","Facultad.SIDI","Participacion"
"Asociada/o","F. BELLAS ARTES","2.79%"
"Asociada/o","F. CIENCIAS BIOLOGICAS","0.46%"
"Asociada/o","F. CIENCIAS DE LA DOCUMENTACION","0.46%"
"Asociada/o","F. CIENCIAS DE LA INFORMACION","3.71%"
"Asociada/o","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","5.86%"
"Asociada/o","F. CIENCIAS FISICAS","0.05%"
"Asociada/o","F. CIENCIAS GEOLOGICAS","0.64%"
"Asociada/o","F. CIENCIAS MATEMATICAS","0.41%"
"Asociada/o","F. CIENCIAS POLITICAS Y SOCIOLOGIA","2.70%"
"Asociada/o","F. CIENCIAS QUIMICAS","0.14%"
"Asociada/o","F. COMERCIO Y TURISMO","2.24%"
"Asociada/o","F. DERECHO","4.30%"
"Asociada/o","F. EDUCACION-CENTRO FORMACION PROFESOR","4.76%"
"Asociada/o","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","10.06%"
"Asociada/o","F. ESTUDIOS ESTADISTICOS","0.37%"
"Asociada/o","F. FARMACIA","3.48%"
"Asociada/o","F. FILOLOGIA","3.57%"
"Asociada/o","F. FILOSOFIA","0.41%"
"Asociada/o","F. GEOGRAFIA E HISTORIA","0.55%"
"Asociada/o","F. INFORMATICA","0.46%"
"Asociada/o","F. MEDICINA","37.15%"
"Asociada/o","F. ODONTOLOGIA","4.16%"
"Asociada/o","F. OPTICA Y OPTOMETRIA","1.19%"
"Asociada/o","F. PSICOLOGIA","5.31%"
"Asociada/o","F. TRABAJO SOCIAL","1.24%"
"Asociada/o","F. VETERINARIA","3.57%"
"Ayudante Doctor","F. BELLAS ARTES","4.75%"
"Ayudante Doctor","F. CIENCIAS BIOLOGICAS","3.86%"
"Ayudante Doctor","F. CIENCIAS DE LA DOCUMENTACION","0.48%"
"Ayudante Doctor","F. CIENCIAS DE LA INFORMACION","5.95%"
"Ayudante Doctor","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","5.95%"
"Ayudante Doctor","F. CIENCIAS FISICAS","1.53%"
"Ayudante Doctor","F. CIENCIAS GEOLOGICAS","2.49%"
"Ayudante Doctor","F. CIENCIAS MATEMATICAS","1.77%"
"Ayudante Doctor","F. CIENCIAS POLITICAS Y SOCIOLOGIA","7.48%"
"Ayudante Doctor","F. CIENCIAS QUIMICAS","3.62%"
"Ayudante Doctor","F. COMERCIO Y TURISMO","3.22%"
"Ayudante Doctor","F. DERECHO","3.70%"
"Ayudante Doctor","F. EDUCACION-CENTRO FORMACION PROFESOR","8.29%"
"Ayudante Doctor","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","1.77%"
"Ayudante Doctor","F. ESTUDIOS ESTADISTICOS","1.29%"
"Ayudante Doctor","F. FARMACIA","5.87%"
"Ayudante Doctor","F. FILOLOGIA","9.57%"
"Ayudante Doctor","F. FILOSOFIA","3.06%"
"Ayudante Doctor","F. GEOGRAFIA E HISTORIA","5.95%"
"Ayudante Doctor","F. INFORMATICA","1.69%"
"Ayudante Doctor","F. MEDICINA","4.91%"
"Ayudante Doctor","F. ODONTOLOGIA","0.80%"
"Ayudante Doctor","F. OPTICA Y OPTOMETRIA","2.09%"
"Ayudante Doctor","F. PSICOLOGIA","4.02%"
"Ayudante Doctor","F. TRABAJO SOCIAL","1.21%"
"Ayudante Doctor","F. VETERINARIA","4.67%"
"Catedrática/o","F. BELLAS ARTES","0.52%"
"Catedrática/o","F. CIENCIAS BIOLOGICAS","3.64%"
"Catedrática/o","F. CIENCIAS DE LA DOCUMENTACION","0.39%"
"Catedrática/o","F. CIENCIAS DE LA INFORMACION","3.25%"
"Catedrática/o","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","6.62%"
"Catedrática/o","F. CIENCIAS FISICAS","9.48%"
"Catedrática/o","F. CIENCIAS GEOLOGICAS","2.47%"
"Catedrática/o","F. CIENCIAS MATEMATICAS","4.55%"
"Catedrática/o","F. CIENCIAS POLITICAS Y SOCIOLOGIA","2.99%"
"Catedrática/o","F. CIENCIAS QUIMICAS","10.00%"
"Catedrática/o","F. COMERCIO Y TURISMO","0.13%"
