"Categoria","Sexo","Edad.Media"
"Asociada/o","Hombre","52.48035"
"Asociada/o","Mujer","49.67104"
"Ayudante Doctor","Hombre","41.74530"
"Ayudante Doctor","Mujer","42.13830"
"Catedrática/o","Mujer","60.82332"
"Catedrática/o","Hombre","60.73511"
"Distinguido","Mujer","40.00000"
"Distinguido","Hombre","35.00000"
"Emérita/o","Hombre","71.67105"
"Emérita/o","Mujer","71.58333"
"PDI Colaborador","Hombre","62.14286"
"PDI Colaborador","Mujer","56.21429"
"PDI Contratado Doctor","Mujer","53.08197"
"PDI Contratado Doctor","Hombre","53.26608"
"PDI Visitante","Mujer","46.28571"
"PDI Visitante","Hombre","46.85714"
"Personal Investigador (PI)","Hombre","30.65000"
"Personal Investigador (PI)","Mujer","30.41317"
"Profesor Permanente Laboral","Hombre","46.22936"
"Profesor Permanente Laboral","Mujer","45.93902"
"Sustituto","Hombre","41.17526"
"Sustituto","Mujer","40.63636"
"Titular de E.U.","Hombre","65.90000"
"Titular de E.U.","Mujer","64.61538"
"Titular de Universidad","Hombre","56.05000"
"Titular de Universidad","Mujer","56.29004"
