"Ano","TotPart","Catedrática.o","Titular.de.Universidad","PDI.Contratado.Doctor","Titular.de.E.U.","Ayudante.Doctor","Asociada.o","Emérita.o","PDI.Colaborador","PI","Visitante"
"2007","100.00%","12.54%","38.79%","8.92%","7.60%","1.55%","20.49%","1.13%","2.10%","6.61%","0.29%"
"2008","100.00%","10.84%","34.54%","8.42%","4.93%","1.97%","27.80%","2.09%","1.33%","7.72%","0.38%"
"2009","100.00%","11.03%","33.15%","7.85%","4.19%","2.85%","27.56%","2.44%","1.04%","9.55%","0.35%"
"2010","100.00%","10.49%","31.34%","6.66%","3.52%","3.94%","26.41%","3.34%","0.92%","13.16%","0.22%"
"2011","100.00%","10.57%","29.61%","6.27%","3.00%","4.61%","26.48%","3.49%","0.81%","14.89%","0.26%"
"2012","100.00%","10.28%","29.42%","6.66%","2.66%","4.55%","25.63%","3.29%","0.75%","16.28%","0.47%"
"2013","100.00%","10.22%","29.89%","7.87%","2.47%","4.02%","25.78%","2.49%","0.72%","16.24%","0.31%"
"2014","100.00%","9.62%","29.00%","8.90%","2.17%","2.84%","28.09%","2.12%","0.72%","16.01%","0.52%"
"2015","100.00%","9.20%","27.85%","10.51%","2.00%","2.37%","28.00%","1.92%","0.71%","16.98%","0.47%"
"2016","100.00%","8.78%","26.61%","11.52%","1.82%","1.72%","29.49%","1.95%","0.61%","17.13%","0.37%"
"2017","100.00%","9.03%","24.03%","11.67%","1.54%","2.35%","30.38%","1.99%","0.55%","18.23%","0.22%"
"2018","100.00%","9.45%","22.00%","11.76%","1.35%","3.28%","30.28%","1.73%","0.53%","19.48%","0.14%"
"2019","100.00%","9.56%","20.33%","10.82%","1.10%","5.52%","31.01%","1.55%","0.51%","19.46%","0.14%"
"2020","100.00%","9.53%","20.10%","10.26%","1.04%","6.02%","31.21%","1.59%","0.47%","19.61%","0.17%"
"2021","100.00%","9.04%","18.58%","9.99%","0.71%","8.26%","31.28%","1.47%","0.39%","20.02%","0.24%"
"2022","100.00%","8.87%","17.44%","10.22%","0.56%","9.23%","30.26%","1.44%","0.36%","21.29%","0.33%"
"2023","100.00%","8.70%","17.49%","10.38%","0.44%","9.64%","28.53%","1.44%","0.34%","22.73%","0.31%"
