"Categoria","Ano","Hombre","Mujer"
"Asociada/o","2007","57.75%","42.25%"
"Asociada/o","2008","58.92%","41.08%"
"Asociada/o","2009","58.50%","41.50%"
"Asociada/o","2010","58.23%","41.77%"
"Asociada/o","2011","57.33%","42.67%"
"Asociada/o","2012","57.42%","42.58%"
"Asociada/o","2013","56.76%","43.24%"
"Asociada/o","2014","55.18%","44.82%"
"Asociada/o","2015","54.04%","45.96%"
"Asociada/o","2016","53.24%","46.76%"
"Asociada/o","2017","52.47%","47.53%"
"Asociada/o","2018","52.35%","47.65%"
"Asociada/o","2019","51.20%","48.80%"
"Asociada/o","2020","51.12%","48.88%"
"Asociada/o","2021","50.94%","49.06%"
"Asociada/o","2022","50.55%","49.45%"
"Asociada/o","2023","49.63%","50.37%"
"Asociada/o","2024","49.05%","50.95%"
"Asociada/o","2025","48.61%","51.39%"
"Ayudante Doctor","2007","46.74%","53.26%"
"Ayudante Doctor","2008","51.11%","48.89%"
"Ayudante Doctor","2009","43.78%","56.22%"
"Ayudante Doctor","2010","44.67%","55.33%"
"Ayudante Doctor","2011","46.44%","53.56%"
"Ayudante Doctor","2012","45.66%","54.34%"
"Ayudante Doctor","2013","43.54%","56.46%"
"Ayudante Doctor","2014","45.67%","54.33%"
"Ayudante Doctor","2015","46.82%","53.18%"
"Ayudante Doctor","2016","50.39%","49.61%"
"Ayudante Doctor","2017","47.19%","52.81%"
"Ayudante Doctor","2018","42.97%","57.03%"
"Ayudante Doctor","2019","43.50%","56.50%"
"Ayudante Doctor","2020","44.31%","55.69%"
"Ayudante Doctor","2021","44.07%","55.93%"
"Ayudante Doctor","2022","43.68%","56.32%"
"Ayudante Doctor","2023","44.88%","55.12%"
"Ayudante Doctor","2024","45.97%","54.03%"
"Ayudante Doctor","2025","47.06%","52.94%"
"Catedrática/o","2007","80.56%","19.44%"
"Catedrática/o","2008","79.95%","20.05%"
"Catedrática/o","2009","78.64%","21.36%"
"Catedrática/o","2010","76.77%","23.23%"
"Catedrática/o","2011","74.69%","25.31%"
"Catedrática/o","2012","74.39%","25.61%"
"Catedrática/o","2013","73.53%","26.47%"
"Catedrática/o","2014","73.15%","26.85%"
"Catedrática/o","2015","72.58%","27.42%"
"Catedrática/o","2016","72.18%","27.82%"
"Catedrática/o","2017","70.66%","29.34%"
"Catedrática/o","2018","67.44%","32.56%"
"Catedrática/o","2019","66.97%","33.03%"
"Catedrática/o","2020","65.68%","34.32%"
"Catedrática/o","2021","64.84%","35.16%"
"Catedrática/o","2022","64.46%","35.54%"
"Catedrática/o","2023","64.16%","35.84%"
"Catedrática/o","2024","64.59%","35.41%"
"Catedrática/o","2025","63.25%","36.75%"
"Distinguida/o-Visitante-Emérita/o","2007","86.57%","13.43%"
"Distinguida/o-Visitante-Emérita/o","2008","62.94%","37.06%"
"Distinguida/o-Visitante-Emérita/o","2009","58.14%","41.86%"
"Distinguida/o-Visitante-Emérita/o","2010","60.32%","39.68%"
"Distinguida/o-Visitante-Emérita/o","2011","60.53%","39.47%"
"Distinguida/o-Visitante-Emérita/o","2012","61.20%","38.80%"
"Distinguida/o-Visitante-Emérita/o","2013","56.59%","43.41%"
"Distinguida/o-Visitante-Emérita/o","2014","61.94%","38.06%"
"Distinguida/o-Visitante-Emérita/o","2015","65.00%","35.00%"
"Distinguida/o-Visitante-Emérita/o","2016","68.06%","31.94%"
"Distinguida/o-Visitante-Emérita/o","2017","71.52%","28.48%"
"Distinguida/o-Visitante-Emérita/o","2018","70.37%","29.63%"
"Distinguida/o-Visitante-Emérita/o","2019","70.40%","29.60%"
"Distinguida/o-Visitante-Emérita/o","2020","73.08%","26.92%"
"Distinguida/o-Visitante-Emérita/o","2021","71.88%","28.12%"
"Distinguida/o-Visitante-Emérita/o","2022","70.00%","30.00%"
"Distinguida/o-Visitante-Emérita/o","2023","73.08%","26.92%"
"Distinguida/o-Visitante-Emérita/o","2024","68.91%","31.09%"
"Distinguida/o-Visitante-Emérita/o","2025","67.54%","32.46%"
"PDI Colaborador","2007","52.00%","48.00%"
"PDI Colaborador","2008","51.65%","48.35%"
"PDI Colaborador","2009","53.42%","46.58%"
"PDI Colaborador","2010","55.88%","44.12%"
"PDI Colaborador","2011","54.84%","45.16%"
"PDI Colaborador","2012","56.14%","43.86%"
"PDI Colaborador","2013","52.83%","47.17%"
"PDI Colaborador","2014","52.83%","47.17%"
"PDI Colaborador","2015","51.92%","48.08%"
"PDI Colaborador","2016","53.33%","46.67%"
"PDI Colaborador","2017","54.76%","45.24%"
"PDI Colaborador","2018","53.66%","46.34%"
"PDI Colaborador","2019","51.22%","48.78%"
"PDI Colaborador","2020","55.26%","44.74%"
"PDI Colaborador","2021","55.88%","44.12%"
"PDI Colaborador","2022","53.12%","46.88%"
"PDI Colaborador","2023","51.61%","48.39%"
"PDI Colaborador","2024","50.00%","50.00%"
"PDI Colaborador","2025","50.00%","50.00%"
"PDI Contratado Doctor","2007","44.44%","55.56%"
"PDI Contratado Doctor","2008","44.19%","55.81%"
"PDI Contratado Doctor","2009","43.76%","56.24%"
"PDI Contratado Doctor","2010","42.89%","57.11%"
"PDI Contratado Doctor","2011","42.89%","57.11%"
"PDI Contratado Doctor","2012","44.47%","55.53%"
"PDI Contratado Doctor","2013","46.53%","53.47%"
"PDI Contratado Doctor","2014","44.70%","55.30%"
"PDI Contratado Doctor","2015","44.59%","55.41%"
"PDI Contratado Doctor","2016","45.35%","54.65%"
"PDI Contratado Doctor","2017","45.76%","54.24%"
"PDI Contratado Doctor","2018","45.69%","54.31%"
"PDI Contratado Doctor","2019","46.91%","53.09%"
"PDI Contratado Doctor","2020","46.42%","53.58%"
"PDI Contratado Doctor","2021","46.54%","53.46%"
"PDI Contratado Doctor","2022","45.87%","54.13%"
"PDI Contratado Doctor","2023","45.03%","54.97%"
"PDI Contratado Doctor","2024","44.21%","55.79%"
"PDI Contratado Doctor","2025","43.28%","56.72%"
"PDI Visitante","2007","58.82%","41.18%"
"PDI Visitante","2008","57.69%","42.31%"
"PDI Visitante","2009","44.00%","56.00%"
"PDI Visitante","2010","37.50%","62.50%"
"PDI Visitante","2011","40.00%","60.00%"
"PDI Visitante","2012","36.11%","63.89%"
"PDI Visitante","2013","39.13%","60.87%"
"PDI Visitante","2014","47.37%","52.63%"
"PDI Visitante","2015","35.29%","64.71%"
"PDI Visitante","2016","40.74%","59.26%"
