"Ano","TOTAL_PERSONAS","Catedrática.o","Titular.de.Universidad","PDI.Contratado.Doctor","Titular.de.E.U.","Ayudante.Doctor","Asociada.o","Distinguida.o.Visitante.Emérita.o","PDI.Colaborador","PI"
"2007","5950","746","2308","531","452","92","1219","84","125","393"
"2008","6856","743","2368","577","338","135","1906","169","91","529"
"2009","7047","777","2336","553","295","201","1942","197","73","673"
"2010","7387","775","2315","492","260","291","1951","263","68","972"
"2011","7622","806","2257","478","229","351","2018","286","62","1135"
"2012","7597","781","2235","506","202","346","1947","286","57","1237"
"2013","7321","748","2188","576","181","294","1887","205","53","1189"
"2014","7316","704","2122","651","159","208","2055","193","53","1171"
"2015","7297","671","2032","767","146","173","2043","174","52","1239"
"2016","7369","647","1961","849","134","127","2173","171","45","1262"
"2017","7585","685","1823","885","117","178","2304","168","42","1383"
"2018","7797","737","1715","917","105","256","2361","146","41","1519"
"2019","8075","772","1642","874","89","446","2504","136","41","1571"
"2020","8166","778","1641","838","85","492","2549","144","38","1601"
"2021","8685","785","1614","868","62","717","2717","149","34","1739"
"2022","9003","799","1570","920","50","831","2724","160","32","1917"
"2023","9012","784","1576","935","40","869","2571","158","31","2048"
"2024","9129","785","1584","1027","29","942","2685","138","28","1911"
"2025","9053","770","1553","1042","23","1243","2545","128","28","1721"
